epoch,accuracy,loss
0,0.01666666753590107,4.3433308601379395
1,0.021844660863280296,4.342851161956787
0,0.02291666716337204,4.343801021575928
1,0.031553398817777634,4.343306064605713
2,0.02669902890920639,4.343630313873291
3,0.03333333507180214,4.343786239624023
4,0.012135921977460384,4.344217300415039
5,0.019417475908994675,4.343805313110352
6,0.02708333358168602,4.343629360198975
7,0.021844660863280296,4.34399938583374
8,0.02427184395492077,4.343860626220703
9,0.02083333395421505,4.344080448150635
10,0.04368932172656059,4.342766284942627
11,0.019417475908994675,4.344828128814697
12,0.01875000074505806,4.343548774719238
13,0.019417475908994675,4.3432440757751465
14,0.021844660863280296,4.343417167663574
