epoch,accuracy,loss,val_accuracy,val_loss
0,0.09780013561248779,3.582594871520996,0.37755799293518066,2.8295319080352783
1,0.3300648033618927,2.466339349746704,0.6606411933898926,1.459004521369934
2,0.5636084675788879,1.5396162271499634,0.7646657824516296,0.9354013800621033
3,0.6989256739616394,1.0900942087173462,0.8004775047302246,0.7445691227912903
4,0.7673090100288391,0.853998601436615,0.8182128071784973,0.6750072836875916
5,0.8112210035324097,0.7150518298149109,0.8308321833610535,0.6237813234329224
6,0.8289563655853271,0.6464606523513794,0.847203254699707,0.5869781970977783
7,0.8493348956108093,0.5723228454589844,0.855729877948761,0.5462361574172974
8,0.8700545430183411,0.504400908946991,0.858458399772644,0.5525152683258057
9,0.8770464062690735,0.4801458716392517,0.8652796745300293,0.5365616679191589
10,0.8831855654716492,0.4488873779773712,0.8676671385765076,0.5365418791770935
11,0.8968281149864197,0.40195292234420776,0.8751705288887024,0.5162070393562317
12,0.8993861079216003,0.3925973176956177,0.8608458638191223,0.5836529731750488
13,0.9081684947013855,0.3597930073738098,0.8843792676925659,0.507529079914093
14,0.9194235801696777,0.31808924674987793,0.8833560943603516,0.5093026757240295
15,0.9224931597709656,0.30394840240478516,0.8836971521377563,0.5091745257377625
